obs_name,method_cluster,selected_as_cancer_cluster,signed_distance_to_selected_cancer_cluster_boundary,x,y,annotation_optional_validation_only,score_cholesterol_biosynthesis,score_immune_activation,score_proliferation,score_hypoxia_stress
19_64099,8,False,2924.929,10978.123,3030.3643,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.041671056
19_64100,8,False,2787.0403,10984.923,3168.0854,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64101,3,False,2382.771,10986.595,3572.8838,T_cell,0.092886284,-0.15783484,-0.1512911,0.6725626
19_64102,7,False,1339.9863,10990.884,4618.5264,unknown,-0.17691031,-0.15783484,0.55838305,0.051773284
19_64103,2,False,631.01807,10989.602,8182.557,M1_macrophages,0.3653865,-0.15783484,0.40942973,0.18558675
19_64110,7,False,1967.2996,10987.527,3989.1838,T_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64113,5,False,341.57935,10990.7,5638.3184,CAF,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64115,7,False,702.6567,10989.423,8004.016,High_Endothelial_Venules,0.546181,-0.15783484,-0.1512911,0.40126544
19_64124,2,False,800.3811,10989.727,5163.172,M1_macrophages,-0.17691031,0.091018915,-0.1512911,-0.25734973
19_64125,1,True,-118.07105,10988.119,6632.093,Tumor,-0.17691031,-0.15783484,-0.1512911,0.5632004
19_64126,4,False,425.26663,10991.296,7167.989,Plasma_IgG,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64127,3,False,763.1143,10989.268,7896.0874,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64128,0,False,620.0794,10987.868,8218.577,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64132,0,False,3948.6167,10992.845,1636.952,Plasma_IgG,-0.17691031,0.236589,-0.1512911,0.13336237
19_64133,7,False,2308.4917,10993.335,3646.8943,T_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64134,3,False,858.65173,10991.719,5103.7427,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,0.084492885
19_64136,1,True,-146.64705,10993.895,6210.7236,Tumor_Keratin_Pearl,-0.17691031,-0.15783484,-0.1512911,0.2094484
19_64143,0,False,3913.578,10982.723,1742.819,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64144,7,False,3866.747,10988.653,2017.4207,High_Endothelial_Venules,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64146,0,False,3263.7678,10986.432,2690.7505,T_cell,-0.17691031,-0.15783484,-0.1512911,-0.0062302863
19_64147,8,False,2600.985,10989.443,3354.16,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64149,7,False,1823.1804,10995.65,4133.0923,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64151,6,False,60.712574,10989.904,5954.074,Tumor,0.5290993,-0.15783484,0.55838305,-0.041671056
19_64152,1,True,-132.78546,10993.369,6613.523,Tumor,0.35965616,-0.15783484,-0.1512911,-0.25734973
19_64155,3,False,663.6107,10991.544,8093.416,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,0.4424854
19_64156,3,False,653.11176,10992.095,8121.9727,High_Endothelial_Venules,-0.17691031,-0.15783484,-0.1512911,0.7208755
19_64160,7,False,3888.0906,10995.515,1930.6986,T_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64161,7,False,3620.5513,10989.664,2333.5361,T_cell,-0.17691031,-0.15783484,-0.1512911,-0.041671056
19_64162,0,False,3533.136,10992.116,2420.9219,unknown,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64164,7,False,1421.6425,10991.842,4536.368,unknown,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64165,7,False,1365.4283,10989.879,4593.0537,T_cell,0.546181,-0.15783484,0.55838305,-0.25734973
19_64166,2,False,661.8338,10994.086,7405.3047,Germinal_Center_Plasma_IgM_B_cell,0.2960868,-0.15783484,-0.1512911,-0.25734973
19_64171,0,False,3924.3208,10985.487,1707.7806,T_cell,-0.17691031,-0.15783484,-0.1512911,0.5600834
19_64173,8,False,2453.0146,10989.692,3502.341,T_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64174,7,False,2132.8967,10993.332,3822.8162,High_Endothelial_Venules,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64176,7,False,1782.3817,10987.926,4174.5967,unknown,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64179,3,False,1581.4878,10994.024,4375.6665,Plasma_IgG,-0.17691031,0.7642046,-0.1512911,-0.25734973
19_64187,0,False,1695.4065,10991.811,4261.539,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,0.18558675
19_64188,7,False,1648.9043,10997.717,4307.717,unknown,-0.17691031,-0.15783484,-0.1512911,0.051773284
19_64200,3,False,3236.7495,10992.334,2717.5405,T_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64201,8,False,2699.9954,10988.977,3255.037,M1_macrophages,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64202,7,False,2476.024,10992.838,3479.1206,Plasma_IgA,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64208,3,False,809.6032,10996.694,7831.698,High_Endothelial_Venules,0.37521258,0.091018915,-0.1512911,-0.25734973
19_64209,3,False,689.8238,10994.29,8038.9946,High_Endothelial_Venules,-0.17691031,0.091018915,-0.1512911,-0.25734973
19_64216,8,False,2819.4224,10992.686,3135.2756,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.041671056
19_64217,8,False,2672.7139,10991.106,3282.245,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64219,5,False,201.95757,11001.455,6943.6724,Fibroblasts,-0.17691031,-0.15783484,-0.1512911,0.444688
19_64225,7,False,3601.3416,11000.622,2352.354,unknown,-0.17691031,-0.15783484,-0.1512911,0.52742934
19_64226,7,False,3202.4744,10992.812,2751.8262,T_cell,0.5331978,-0.15783484,-0.1512911,-0.25734973
19_64228,2,False,2167.1863,10997.502,3788.202,T_cell,-0.17691031,0.091018915,-0.1512911,-0.25734973
19_64229,7,False,990.04224,10999.957,4969.7666,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64230,7,False,880.4213,10999.165,5080.5596,Plasma_IgA,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64231,5,False,353.9492,10999.384,7095.6587,CAF,-0.17691031,-0.15783484,-0.1512911,0.18558675
19_64235,0,False,3942.5247,10995.893,1673.7252,Plasma_IgG,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64236,3,False,3108.243,10995.099,2846.046,T_cell,-0.17691031,-0.15783484,-0.1512911,-0.25734973
19_64237,7,False,2942.1501,10992.673,3012.4116,Germinal_Center_Plasma_IgM_B_cell,-0.17691031,0.091018915,-0.1512911,-0.25734973
